param_val,J_total,rho_total,rho_active,rho_paused,rho_mobile,rho_jammed,frac_unpaused,J_unpaused,J_paused,rho_sys_unpaused,rho_sys_paused,batch_id
0.0,0.0005899985860051431,0.004617346577274294,0.004617346577274294,0.0,0.004538527275633572,7.881930164072148e-5,1.0,0.0005899985860051431,0.0,0.004617346577274294,0.0,af811846
0.0,0.0003699996953984705,0.004525488495865503,0.004525488495865503,0.0,0.004450387671880841,7.510082398466267e-5,1.0,0.0003699996953984705,0.0,0.004525488495865503,0.0,af811846
0.0,0.001059792659964905,0.005462241074428283,0.005462241074428283,0.0,0.005356176740228402,0.00010606433419988103,1.0,0.001059792659964905,0.0,0.005462241074428283,0.0,af811846
0.0,0.00030999976347303245,0.0046109825973192735,0.0046109825973192735,0.0,0.004530327480361833,8.065511695744032e-5,1.0,0.00030999976347303245,0.0,0.0046109825973192735,0.0,af811846
0.045454545454545456,0.0,0.0017055687879748544,0.00016164792974087436,0.00154392085823398,0.0001140949329881139,4.755299675276045e-5,0.21434677033044974,0.0,0.0,0.0003201659359135679,0.0020835429574068685,af811846
0.045454545454545456,0.0,0.0017247912301885603,0.0001514449069666643,0.001573346323221896,0.00010832507911450836,4.311982785215593e-5,0.1982577248737281,0.0,0.0,0.00031642446236220694,0.002073057250129999,af811846
0.045454545454545456,0.0,0.0017013538389428267,0.0001583719625093088,0.001542981876433518,0.00011089682783691068,4.747513467239811e-5,0.19676876901609652,0.0,0.0,0.00035421642239111885,0.002031364128539883,af811846
0.045454545454545456,0.0,0.001783933268502771,0.00016214097766390701,0.001621792290838864,0.00011260737075645397,4.953360690745304e-5,0.18280726152324783,0.0,0.0,0.00037976291142427846,0.0020980483182376952,af811846
0.09090909090909091,0.0,0.001358795260089158,6.131237409509614e-5,0.001297482885994062,4.693676508049548e-5,1.4375609014600659e-5,0.1700791448490748,0.0,0.0,0.00018902817368428963,0.0015985205115917876,af811846
0.09090909090909091,0.0,0.0013555460085091834,6.527332441210637e-5,0.0012902726840970768,5.1077316529526445e-5,1.4196007882579922e-5,0.178136700353519,0.0,0.0,0.00021938599852316053,0.001601805691037395,af811846
0.09090909090909091,0.0,0.0013000963873106128,7.242996013608611e-5,0.0012276664271745267,5.979205005636389e-5,1.263791007972221e-5,0.1937807129356979,0.0,0.0,0.0002227477996802085,0.0015590450142424753,af811846
0.09090909090909091,0.0,0.0012994854156823383,6.571326322076623e-5,0.0012337721524615722,5.3107852569296674e-5,1.2605410651469556e-5,0.19747217476544054,0.0,0.0,0.0001950074411659028,0.0015712562636832016,af811846
0.13636363636363635,0.0,0.0010896884870740615,3.0147430757626933e-5,0.0010595410563164346,2.6385978569935715e-5,3.7614521876912185e-6,0.15859544976476542,0.0,0.0,0.00014164931541010064,0.001268383383343195,af811846
0.13636363636363635,0.0,0.0012219776036217667,4.130242665756757e-5,0.0011806751769641989,3.6707782720981e-5,4.594643936586575e-6,0.1686681950428084,0.0,0.0,0.0001537884306400976,0.0014387015863886348,af811846
0.13636363636363635,0.0,0.001175377506227288,3.38251253577697e-5,0.0011415523808695183,2.8608398056753637e-5,5.216727301016063e-6,0.17511740994717456,0.0,0.0,0.00012958998883929454,0.0013973916493410909,af811846
0.13636363636363635,0.0,0.001159060968282505,4.186191124379349e-5,0.0011171990570387114,3.51502677060239e-5,6.711643537769589e-6,0.1838203390419715,0.0,0.0,0.00014463065438978404,0.0013875314058027627,af811846
0.18181818181818182,0.0,0.0011767196214483029,2.7981383289380434e-5,0.0011487382381589223,2.386075491035832e-5,4.120628379022113e-6,0.14899210644257016,0.0,0.0,0.00012908792730022975,0.0013601360786501609,af811846
0.18181818181818182,0.0,0.001038187269487736,2.8303510237992777e-5,0.0010098837592497434,2.5576395229007894e-5,2.727115008984881e-6,0.1797143642264671,0.0,0.0,0.0001269030500482797,0.0012378382897957265,af811846
0.18181818181818182,0.0,0.0010437086599947925,3.076071672609137e-5,0.0010129479432687011,2.6512431221440835e-5,4.248285504650534e-6,0.17781165109646568,0.0,0.0,0.0001240919172476366,0.0012425907915913949,af811846
0.18181818181818182,0.0,0.0010686245546465674,2.644541073232445e-5,0.001042179143914243,2.279748113012947e-5,3.6479296021949792e-6,0.17317549222353143,0.0,0.0,0.00010940213436257442,0.0012695303251240885,af811846
0.22727272727272727,0.0,0.0010249806789485304,1.950174471166016e-5,0.0010054789342368703,1.7267991878084257e-5,2.2337528335759015e-6,0.1621074325752222,0.0,0.0,9.654817823565659e-5,0.001204604911053287,af811846
0.22727272727272727,0.0,0.0010085600093285246,2.149240039716291e-5,0.0009870676089313618,1.9547057893134288e-5,1.9453425040286236e-6,0.174897606569319,0.0,0.0,9.418235049284212e-5,0.0012023813644768,af811846
0.22727272727272727,0.0,0.0010622209449454956,2.1634478950249503e-5,0.0010405864659952459,1.9761447715061357e-5,1.873031235188144e-6,0.1481820211756822,0.0,0.0,0.00011603366603339935,0.001226819423593985,af811846
0.22727272727272727,0.0,0.0010279481240391553,1.931667914132549e-5,0.0010086314448978298,1.6990160743494587e-5,2.326518397830903e-6,0.15276962872614744,0.0,0.0,9.643148233956624e-5,0.0011959159593880055,af811846
0.2727272727272727,0.0,0.0009514910944865106,1.6997686600442507e-5,0.000934493407886068,1.5857429104350472e-5,1.1402574960920342e-6,0.15926074607103854,0.0,0.0,9.18546160644482e-5,0.0011143315307615906,af811846
0.2727272727272727,0.0,0.0009946626706218962,1.6994575705561955e-5,0.0009776680949163342,1.6015169383225804e-5,9.794063223361494e-7,0.17042590397700044,0.0,0.0,8.455964035654378e-5,0.0011816322642829787,af811846
0.2727272727272727,0.0,0.0010067776785615539,1.7879776756969725e-5,0.000988897901804584,1.642708591146291e-5,1.4526908455068169e-6,0.14901098449650646,0.0,0.0,9.655617572022242e-5,0.001166160467031542,af811846
0.2727272727272727,0.0,0.0009594619236737265,1.626415812490398e-5,0.0009431977655488225,1.503068556811089e-5,1.2334725567930902e-6,0.15663001626598402,0.0,0.0,8.906752648124364e-5,0.0011211108929511007,af811846
0.3181818181818182,0.0,0.0009806502947965045,1.4688201737425353e-5,0.0009659620930590791,1.3741638461936699e-5,9.465632754886554e-7,0.15478119120405723,0.0,0.0,8.041223176012344e-5,0.0011455069192752008,af811846
0.3181818181818182,0.0,0.0009531775241311505,1.4225126567642118e-5,0.0009389523975635084,1.2871951694778657e-5,1.3531748728634607e-6,0.1616555905359034,0.0,0.0,7.369662238885142e-5,0.0011227653485756212,af811846
0.3181818181818182,0.0,0.0009492932277542579,1.4546040610772984e-5,0.0009347471871434848,1.3413039958833223e-5,1.1330006519397612e-6,0.1679500661528178,0.0,0.0,7.553461573323939e-5,0.0011256622300471859,af811846
0.3181818181818182,0.0,0.0009963862181104227,1.3365963150479529e-5,0.000983020254959943,1.2823222460790973e-5,5.427406896885562e-7,0.12034562515314312,0.0,0.0,9.695986992747544e-5,0.0011194368494110746,af811846
0.36363636363636365,0.0,0.0009054638715554122,1.196122396434932e-5,0.0008935026475910629,1.1484413175777665e-5,4.768107885716553e-7,0.16087610538263888,0.0,0.0,6.889681271482977e-5,0.0010658497826002307,af811846
0.36363636363636365,0.0,0.0009566225907767902,1.2205121289693584e-5,0.0009444174694870967,1.168606696941816e-5,5.190543202754257e-7,0.13618304109491014,0.0,0.0,8.162815187934806e-5,0.0010945677913216211,af811846
0.36363636363636365,0.0,0.0009128778544325578,1.2643374021012587e-5,0.0009002344804115452,1.2054241888501687e-5,5.891321325109007e-7,0.15549005964996904,0.0,0.0,7.447266740283089e-5,0.0010672439149292082,af811846
0.36363636363636365,0.0,0.000945041212817434,1.2152640332158521e-5,0.0009328885724852754,1.1425719807991388e-5,7.269205241671323e-7,0.140821178232918,0.0,0.0,7.68847108578835e-5,0.001087333851322035,af811846
0.4090909090909091,0.0,0.000919286392053154,1.0471740874117777e-5,0.0009088146511790362,1.0232479313589522e-5,2.3926156052825504e-7,0.1480899949090477,0.0,0.0,6.624520363613211e-5,0.0010675730238510726,af811846
0.4090909090909091,0.0,0.0009164244465251495,1.0061880271922966e-5,0.0009063625662532266,9.868965861187013e-6,1.9291441073595282e-7,0.14831983231214274,0.0,0.0,6.426313524777422e-5,0.0010648280698415012,af811846
0.4090909090909091,0.0,0.0009110253447379686,9.979365123058746e-6,0.0009010459796149099,9.71718976397782e-6,2.6217535908092636e-7,0.14591139388507438,0.0,0.0,6.27586221808578e-5,0.0010559421355585883,af811846
0.4090909090909091,0.0,0.0009144941136756833,1.0289005706388826e-5,0.0009042051079692946,9.884234619338496e-6,4.0477108705033045e-7,0.15899562104664153,0.0,0.0,5.9150186237797795e-5,0.0010762006901868645,af811846
0.45454545454545453,0.0,0.0009235497109456127,9.449609483343512e-6,0.0009141001014622692,9.087791663098857e-6,3.618178202446556e-7,0.15118374494676956,0.0,0.0,5.8133720137655536e-5,0.0010776900559829033,af811846
0.45454545454545453,0.0,0.0008903497637840361,9.044879687763785e-6,0.0008813048840962724,8.878881974725858e-6,1.6599771303792838e-7,0.15046837644512912,0.0,0.0,5.7199858732612395e-5,0.001037916623065766,af811846
0.45454545454545453,0.0,0.0009271271708310321,9.244233290643365e-6,0.0009178829375403886,8.914603570222027e-6,3.2962972042133686e-7,0.13964444764837844,0.0,0.0,6.098427026734037e-5,0.0010677109638956334,af811846
0.45454545454545453,0.0,0.0009245033387508274,9.940597714918692e-6,0.0009145627410359087,9.440095320927668e-6,5.005023939910255e-7,0.15929655015798516,0.0,0.0,5.686192098902119e-5,0.001088904097008227,af811846
0.5,0.0,0.0008748507158779872,7.905008985757262e-6,0.0008669457068922299,7.775693439935955e-6,1.2931554582130706e-7,0.1573735066053178,0.0,0.0,4.807395472917249e-5,0.0010292640402888922,af811846
0.5,0.0,0.0009148529837804875,7.6105287973131095e-6,0.0009072424549831745,7.387937690462269e-6,2.225911068508401e-7,0.13944306519525407,0.0,0.0,5.173937929883337e-5,0.0010547103270345441,af811846
0.5,0.0,0.0009288277379744689,9.127279721867616e-6,0.0009197004582526012,8.918794202147796e-6,2.0848551971982057e-7,0.1372760789453223,0.0,0.0,6.242788102218652e-5,0.0010666887294905015,af811846
0.5,0.0,0.0009060404906795226,8.204303858568913e-6,0.0008978361868209537,7.974284878180106e-6,2.3001898038880683e-7,0.14659505863401184,0.0,0.0,5.255862544455725e-5,0.0010526487630395586,af811846
