param_val,J_total_mean,rho_total_mean,rho_active_mean,rho_paused_mean,rho_mobile_mean,rho_jammed_mean,frac_unpaused_mean,J_unpaused_mean,J_paused_mean,rho_sys_unpaused_mean,rho_sys_paused_mean,batch_id
0.0,0.0005824476762103876,0.004804014686221839,0.004804014686221839,0.0,0.004718854792026161,8.515989419567638e-5,1.0,0.0005824476762103876,0.0,0.004804014686221839,0.0,af811846
0.045454545454545456,0.0,0.001728911781402253,0.00015840144422018862,0.0015705103371820646,0.00011148105267399673,4.692039154619189e-5,0.19804513143588054,0.0,0.0,0.00034264243302279307,0.0020715031635786113,af811846
0.09090909090909091,0.0,0.001328480767897823,6.618223046601372e-5,0.0012622985374318094,5.2728496058920626e-5,1.3453734407093087e-5,0.18486718322593307,0.0,0.0,0.00020654235326339037,0.001582656870138715,af811846
0.13636363636363635,0.0,0.0011615261413014052,3.678422350418942e-5,0.0011247419177972157,3.171310676342356e-5,5.0711167407658616e-6,0.17155034844917996,0.0,0.0,0.0001424145973198192,0.001373002006218921,af811846
0.18181818181818182,0.0,0.0010818100263943497,2.8372755246447256e-5,0.0010534372711479025,2.468676562273413e-5,3.685989623713127e-6,0.1699234034972586,0.0,0.0,0.0001223712572396801,0.0012775238712903426,af811846
0.22727272727272727,0.0,0.0010309274393154265,2.0486325800099518e-5,0.0010104411135153269,1.839166455744362e-5,2.0946612426558934e-6,0.1594891722615927,0.0,0.0,0.00010079891927536608,0.0012074304146280194,af811846
0.2727272727272727,0.0,0.0009780983418359217,1.7034049296969542e-5,0.0009610642925389521,1.583259249178752e-5,1.2014568051820227e-6,0.15883191270263236,0.0,0.0,9.050948965561451e-5,0.001145808788756803,af811846
0.3181818181818182,0.0,0.0009698768161980839,1.4206333016579996e-5,0.0009556704831815037,1.3212463144084888e-5,9.938698724951082e-7,0.1511831182614804,0.0,0.0,8.165083495242242e-5,0.0011283428368272707,af811846
0.36363636363636365,0.0,0.0009300013823955485,1.2240589901803503e-5,0.0009177607924937451,1.1662610460422224e-5,5.779794413812785e-7,0.14834259609010902,0.0,0.0,7.547058571372305e-5,0.0010787488350432737,af811846
0.4090909090909091,0.0,0.000915307574247989,1.020049799387208e-5,0.0009051070762541168,9.925717389523214e-6,2.7478060434886613e-7,0.1503292105382266,0.0,0.0,6.310428682564048e-5,0.0010661359798595066,af811846
0.45454545454545453,0.0,0.0009163824960778771,9.419830044167338e-6,0.0009069626660337097,9.080343132243603e-6,3.394869119237366e-7,0.15014827979956558,0.0,0.0,5.829494253165737e-5,0.0010680554349881324,af811846
0.5,0.0,0.0009061429820781165,8.211780340876724e-6,0.0008979312017372398,8.014177552681533e-6,1.9760278819519363e-7,0.1451719273449765,0.0,0.0,5.3699960123687405e-5,0.001050827964963374,af811846
