param_val,J_total_mean,rho_total_mean,rho_active_mean,rho_paused_mean,rho_mobile_mean,rho_jammed_mean,frac_unpaused_mean,J_unpaused_mean,J_paused_mean,rho_sys_unpaused_mean,rho_sys_paused_mean,batch_id
0.0,0.0021899967273706702,0.020749582942876835,0.020749582942876835,0.0,0.017454431697230724,0.0032951512456461103,1.0,0.0021899967273706702,0.0,0.020749582942876835,0.0,b545e7d2
0.045454545454545456,0.00018499959268224446,0.010349945080040272,0.007174846892275408,0.0031750981877648626,0.005094903874456372,0.002079943017819036,0.15497294238556636,0.0,0.0002182849511392686,0.0031199103820846005,0.011672979944969592,b545e7d2
0.09090909090909091,4.999996627987214e-6,0.007752039081626056,0.004116822851907046,0.0036352162297190104,0.0028791589230545813,0.0012376639288524645,0.10612814046542285,0.0,5.525366702820135e-6,0.002143128400550676,0.008413270445058175,b545e7d2
0.13636363636363635,0.0,0.0068801286014405685,0.0029713090396084963,0.003908819561832073,0.0020976381271258847,0.0008736709124826116,0.08044678685343115,0.0,0.0,0.001773484317388647,0.007325210899865287,b545e7d2
0.18181818181818182,0.0,0.005560825030902278,0.0020229481529697156,0.0035378768779325627,0.001458924784186375,0.0005640233687833408,0.07409815508532326,0.0,0.0,0.001555165883607676,0.005880871718955606,b545e7d2
0.22727272727272727,0.0,0.005198940594509693,0.0016341639675385084,0.003564776626971184,0.0011855455076634394,0.00044861845987506914,0.06599108492954187,0.0,0.0,0.0014214470021606904,0.0054645426265556,b545e7d2
0.2727272727272727,0.0,0.00460093080089043,0.00126144046385134,0.0033394903370390903,0.0009235546514371622,0.00033788581241417804,0.06129864067956088,0.0,0.0,0.0013321640838500934,0.004813208863537423,b545e7d2
0.3181818181818182,0.0,0.004542906350276857,0.0011102050436269093,0.0034327013066499483,0.000824255047504409,0.0002859499961225004,0.0556780392883341,0.0,0.0,0.0012803887944374754,0.0047355465374355156,b545e7d2
0.36363636363636365,0.0,0.004463292579163168,0.0009885230282658532,0.0034747695508973147,0.0007391349019553048,0.00024938812631054836,0.04989097579665353,0.0,0.0,0.0012063959559322423,0.004633817120099128,b545e7d2
0.4090909090909091,0.0,0.004396335461398559,0.0008883656481194415,0.0035079698132791165,0.0006617890474313497,0.0002265766006880917,0.047111368189401134,0.0,0.0,0.0011544184795714448,0.004555757269640807,b545e7d2
0.45454545454545453,0.0,0.003697214746654503,0.0006864471159437009,0.0030107676307108014,0.0005230512634865193,0.00016339585245718147,0.04925242425527296,0.0,0.0,0.0011251804373020257,0.0038299861228478665,b545e7d2
0.5,0.0,0.003373913361324359,0.0005806538883899075,0.0027932594729344513,0.00044499989373933277,0.00013565399465057475,0.049726154214980854,0.0,0.0,0.0010875994819253896,0.00349310558120361,b545e7d2
